ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12391484,1/1/2020 0:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,612,6.0,17.0,,
13023437,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,714,7.0,15.0,,
12787696,1/1/2020 0:00,THEFT,OVER $500,APARTMENT,False,False,932,9.0,16.0,,
12704848,1/1/2020 0:00,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,813,8.0,13.0,,
12669346,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,True,1121,11.0,27.0,,
12811022,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,532,5.0,9.0,,
12936615,1/1/2020 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,HOSPITAL BUILDING / GROUNDS,False,True,1833,18.0,2.0,,
12735903,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,632,6.0,9.0,,
13108006,1/1/2020 0:00,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,False,True,2525,25.0,35.0,,
12375788,1/1/2020 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,1022,10.0,24.0,,
12818756,1/1/2020 0:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,2212,22.0,19.0,,
12391655,1/1/2020 0:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,True,1012,10.0,24.0,,
12418553,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,811,8.0,23.0,,
11939851,1/1/2020 0:00,THEFT,$500 AND UNDER,BAR OR TAVERN,False,False,1831,18.0,42.0,,
12296304,1/1/2020 0:00,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,True,1235,12.0,11.0,,
12296850,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,224,2.0,3.0,,
12914317,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1014,10.0,24.0,,
13106734,1/1/2020 0:00,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),False,False,2213,22.0,21.0,,
12663194,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2013,20.0,48.0,,
12628099,1/1/2020 0:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,1915,19.0,46.0,,
12843813,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,331,3.0,5.0,,
12522374,1/1/2020 0:00,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,2232,22.0,9.0,,
12535988,1/1/2020 0:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,True,1023,10.0,12.0,,
12370812,1/1/2020 0:00,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,APARTMENT,False,False,815,8.0,14.0,,
13030701,1/1/2020 0:00,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2532,25.0,37.0,,
12499276,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER (SPECIFY),False,False,2512,25.0,30.0,,
12329551,1/1/2020 0:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,True,833,8.0,13.0,,
12316520,1/1/2020 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,False,True,911,9.0,12.0,,
13008931,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,614,6.0,21.0,,
12324981,1/1/2020 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,True,True,611,6.0,21.0,,
12351736,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1211,12.0,26.0,,
12470647,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1631,16.0,38.0,,
12626336,1/1/2020 0:00,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,False,True,331,3.0,5.0,,
12639652,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,912,9.0,12.0,,
12059427,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,2221,22.0,21.0,,
12344132,1/1/2020 0:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,2233,22.0,34.0,,
12631538,1/1/2020 0:00,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,False,2423,24.0,49.0,,
12331175,1/1/2020 0:00,CRIMINAL SEXUAL ASSAULT,PREDATORY,VEHICLE NON-COMMERCIAL,False,False,813,8.0,13.0,,
12703199,1/1/2020 0:00,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,813,8.0,13.0,,
12547074,1/1/2020 0:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,631,6.0,8.0,,
12774261,1/1/2020 0:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOSPITAL BUILDING / GROUNDS,False,False,1522,15.0,29.0,,
13087128,1/1/2020 0:00,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,False,624,6.0,6.0,,
12723551,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,321,3.0,20.0,,
13113970,1/1/2020 0:00,DECEPTIVE PRACTICE,FORGERY,STREET,False,False,632,6.0,6.0,,
12673918,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1431,14.0,1.0,,
12291097,1/1/2020 0:00,SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,RESIDENCE,False,False,2012,20.0,40.0,,
13098237,1/1/2020 0:00,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,False,433,4.0,10.0,,
12909281,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,915,9.0,11.0,,
13086023,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,AIRPORT EXTERIOR - SECURE AREA,False,False,1650,16.0,41.0,,
12542772,1/1/2020 0:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),False,False,612,6.0,17.0,,
12368798,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1434,14.0,2.0,,
12578771,1/1/2020 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,423,4.0,10.0,,
12427555,1/1/2020 0:01,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),False,False,1235,12.0,25.0,,
