ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12995298,1/1/2023 0:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,True,723,7.0,20.0,41.77719734,-87.64080047
13059379,1/1/2023 0:00,THEFT,$500 AND UNDER,STREET,False,False,825,8.0,16.0,41.77845787,-87.67983651
12939417,1/1/2023 1:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,734,7.0,17.0,41.76044926,-87.65791774
12938905,1/1/2023 1:14,THEFT,$500 AND UNDER,STREET,False,False,913,9.0,11.0,41.83663668,-87.65476504
12938587,1/1/2023 1:20,THEFT,$500 AND UNDER,STREET,False,False,2223,22.0,34.0,41.71708704,-87.63823757
12938421,1/1/2023 2:50,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1831,18.0,42.0,41.89318177,-87.6345943
12946837,1/1/2023 3:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,714,7.0,15.0,41.78260167,-87.66550599
12938509,1/1/2023 3:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",HOTEL / MOTEL,True,False,1834,18.0,42.0,41.88899385,-87.62693483
27280,1/1/2023 4:56,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,915,9.0,11.0,41.82436773,-87.64108119
13031161,1/1/2023 9:00,DECEPTIVE PRACTICE,COMPUTER FRAUD,APARTMENT,False,False,1225,12.0,27.0,41.87716145,-87.67653695
12941298,1/1/2023 9:04,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,False,False,111,1.0,42.0,,
12939440,1/1/2023 9:30,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,932,9.0,16.0,41.79702208,-87.67439264
12939013,1/1/2023 9:40,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,132,1.0,4.0,,
12938750,1/1/2023 10:41,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,True,715,7.0,15.0,41.78980442,-87.67054294
12948586,1/1/2023 12:00,THEFT,FROM BUILDING,SCHOOL - PUBLIC BUILDING,False,False,912,9.0,12.0,41.82975352,-87.67160603
12938759,1/1/2023 12:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,True,False,1922,19.0,47.0,41.94266533,-87.66874532
13061633,1/1/2023 12:40,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,131,1.0,3.0,,
12944392,1/1/2023 13:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,915,9.0,11.0,41.83392741,-87.6413121
12938981,1/1/2023 14:00,ASSAULT,SIMPLE,APARTMENT,False,True,1022,10.0,24.0,41.85481029,-87.70412667
